AvgRating,Predictions,Accurate Prediction,BGGId,Name,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
1,1,True,1,Die Macher,0,1,0,0,0,0,0,0
1,1,True,2,Dragonmaster,0,1,0,0,0,0,0,0
1,1,True,3,Samurai,0,1,0,0,0,0,0,0
1,1,True,4,Tal der Könige,0,0,0,0,0,0,0,0
1,1,True,5,Acquire,0,1,0,0,0,0,0,0
1,1,True,6,Mare Mediterraneum,0,0,0,0,0,0,0,0
1,1,True,7,Cathedral,0,0,0,0,0,1,0,0
0,0,True,8,Lords of Creation,0,0,0,0,0,0,0,0
0,1,False,9,El Caballero,0,1,0,0,0,0,0,0
1,1,True,10,Elfenland,0,0,0,1,0,0,0,0
1,1,True,11,Bohnanza,0,0,0,1,0,0,0,0
1,1,True,12,Ra,0,1,0,0,0,0,0,0
1,1,True,13,Catan,0,1,0,1,0,0,0,0
1,1,True,14,Basari,0,1,0,1,0,0,0,0
1,1,True,15,Cosmic Encounter,1,1,0,0,0,0,0,0
1,1,True,16,MarraCash,0,1,0,0,0,0,0,0
0,0,True,17,Button Men,0,0,0,0,1,0,0,0
1,1,True,18,RoboRally,1,1,0,0,0,0,0,0
0,0,True,19,Wacky Wacky West,0,0,0,1,0,0,0,0
1,1,True,20,Full Metal Planète,0,1,0,0,0,0,0,0
0,0,True,21,Gateway to the Stars,0,0,0,0,0,0,0,0
1,1,True,22,Magic Realm,1,1,0,0,0,0,0,0
1,1,True,23,Divine Right,1,0,1,0,0,0,0,0
1,1,True,24,Twilight Imperium,1,0,0,0,0,0,0,0
0,0,True,25,Battlemist,1,0,1,0,0,0,0,0
1,1,True,26,Age of Renaissance,0,1,0,0,0,0,0,0
0,0,True,27,Supremacy: The Game of the Superpowers,0,0,1,0,0,0,0,0
0,1,False,28,Illuminati,1,1,0,0,0,0,0,0
1,1,True,29,Terrain Vague,0,0,0,0,0,0,0,0
1,1,True,30,Dark Tower,1,0,0,0,0,0,0,0
0,0,True,31,Dark World,1,0,0,0,0,0,0,0
0,0,True,32,Buffalo Chess,0,0,0,0,0,1,0,0
1,1,True,34,Arkham Horror,1,0,0,0,0,0,0,0
0,0,True,36,Federation & Empire,0,0,1,0,0,0,0,0
0,0,True,37,Dragon Masters,0,0,1,0,0,0,0,0
0,0,True,38,Runes,0,0,0,0,0,0,0,0
0,0,True,39,Darkover,0,0,0,0,0,0,0,0
1,1,True,40,Borderlands,1,0,1,0,0,0,0,0
1,1,True,41,Can't Stop,0,0,0,1,0,0,0,0
1,1,True,42,Tigris & Euphrates,0,1,0,0,0,0,0,0
1,0,False,43,Airlines,0,1,0,0,0,0,0,0
0,0,True,44,David & Goliath,0,0,0,1,0,0,0,0
1,1,True,45,Perudo,0,0,0,1,0,0,1,0
1,1,True,46,Medici,0,1,0,0,0,0,0,0
1,1,True,47,Chinatown,0,1,0,0,0,0,0,0
0,0,True,48,Krieg und Frieden,0,1,0,0,0,0,0,0
0,0,True,49,Mamma Mia!,0,0,0,1,0,0,0,0
1,1,True,50,Lost Cities,0,0,0,1,0,0,0,0
1,1,True,51,Ricochet Robots,0,0,0,0,0,1,0,0
0,0,True,52,Mighty Empires,0,0,1,0,0,0,0,0
0,1,False,53,Brauerei,0,0,0,0,0,0,0,0
1,1,True,54,Tikal,0,1,0,0,0,0,0,0
0,0,True,55,Sophie's World,0,0,0,0,0,0,0,0
1,1,True,57,Schoko & Co.,0,1,0,0,0,0,0,0
1,1,True,58,Kings & Things,1,0,1,0,0,0,0,0
1,1,True,59,Giganten,0,1,0,0,0,0,0,0
1,1,True,60,Vinci,0,1,0,0,0,0,0,0
0,0,True,61,Fossil,0,0,0,1,0,1,0,0
0,0,True,62,Curse of the Mummy's Tomb,1,0,0,0,0,0,0,0
0,0,True,63,Samurai: Game of Politics and Warfare in Feudal Japan,0,0,1,0,0,0,0,0
0,0,True,64,Joan of Arc,0,1,1,0,0,0,0,0
1,1,True,66,Löwenherz,0,1,0,0,0,0,0,0
0,0,True,67,Conquest,0,0,1,0,0,0,0,0
1,1,True,68,Successors (First/Second Edition),0,0,1,0,0,0,0,0
1,1,True,69,Bollox,0,0,0,0,0,1,0,0
1,1,True,70,Big City,0,1,0,1,0,0,0,0
1,1,True,71,Civilization,0,1,0,0,0,0,0,0
1,1,True,72,Verräter,0,1,0,0,0,0,0,0
1,1,True,73,Show Manager,0,1,0,1,0,0,0,0
0,0,True,74,Apples to Apples,0,0,0,0,0,0,1,0
0,0,True,75,Falling,0,0,0,0,0,0,1,0
0,0,True,76,Air Baron,0,1,0,0,0,0,0,0
1,1,True,77,EastFront,0,0,1,0,0,0,0,0
1,1,True,78,"WestFront: The War in Europe, 1943-45",0,0,1,0,0,0,0,0
0,0,True,79,MedFront: War in North Africa 1940-43,0,0,1,0,0,0,0,0
1,1,True,82,Bobby Lee: The Civil War in Virginia 1861-1865,0,0,1,0,0,0,0,0
0,0,True,83,Sam Grant: The Civil War in the West 1862-1864,0,0,1,0,0,0,0,0
1,1,True,84,Rommel in the Desert,0,0,1,0,0,0,0,0
1,1,True,85,Quebec 1759,0,0,1,0,0,0,0,0
0,0,True,87,Victory: World War II,0,0,1,0,0,0,0,0
1,1,True,88,Torres,0,1,0,0,0,1,0,0
1,1,True,89,Blue vs. Gray,0,0,1,0,0,0,0,0
0,0,True,90,Star Wars: Episode 1 – Clash of the Lightsabers,0,0,0,1,0,0,0,0
1,1,True,91,Paths of Glory,0,0,1,0,0,0,0,0
1,1,True,93,El Grande,0,1,0,0,0,0,0,0
1,1,True,94,Union Pacific,0,1,0,0,0,0,0,0
0,0,True,95,Igel Ärgern,0,0,0,1,0,0,0,0
0,0,True,96,Broadsides & Boarding Parties,1,0,0,0,0,0,0,0
0,0,True,97,Conquest of the Empire,1,0,1,0,0,0,0,0
1,1,True,98,Axis & Allies,0,0,1,0,0,0,0,0
1,1,True,99,Fortress America,1,0,1,0,0,0,0,0
1,1,True,101,Detroit-Cleveland Grand Prix,0,0,0,1,0,0,0,0
0,0,True,102,Klunker,0,1,0,1,0,0,0,0
1,1,True,103,Titan,1,0,1,0,0,0,0,0
1,1,True,104,Extrablatt,0,1,0,0,0,0,0,0
1,1,True,105,Colossal Arena,0,1,0,1,0,0,0,0
1,1,True,106,Mystery Rummy: Jack the Ripper,0,1,0,1,0,0,0,0
1,1,True,108,TAMSK,0,0,0,0,0,1,0,0
0,0,True,109,Wettstreit der Baumeister,0,1,0,1,0,0,0,0
0,0,True,110,Auf Achse,0,0,0,1,0,0,0,0
1,1,True,111,Rheinländer,0,1,0,0,0,0,0,0
1,1,True,112,Condottiere,0,1,0,0,0,0,0,0
1,1,True,113,Mit List und Tücke,0,0,0,0,0,0,0,0
0,0,True,114,Ransom,0,0,0,0,0,0,0,0
1,1,True,115,I'm the Boss!,0,1,0,1,0,0,0,0
1,1,True,116,Guillotine,0,0,0,1,0,0,0,0
1,1,True,117,Ta Yü,0,0,0,0,0,1,0,0
1,1,True,118,Modern Art,0,1,0,0,0,0,0,0
1,1,True,119,Kingdoms,0,1,0,0,0,1,0,0
1,1,True,120,Hoity Toity,0,0,0,1,0,0,0,0
1,1,True,121,Dune,1,1,0,0,0,0,0,0
0,1,False,122,Quo Vadis?,0,1,0,0,0,0,0,0
1,1,True,124,Primordial Soup,0,1,0,0,0,0,0,0
1,0,False,125,Money!,0,0,0,1,0,0,0,0
0,0,True,126,The Really Nasty Horse Racing Game,0,0,0,0,0,0,1,0
0,0,True,127,Princess Ryan's Star Marines,0,0,1,0,0,0,0,0
1,1,True,128,Take it Easy!,0,0,0,1,0,1,0,0
1,1,True,130,Iron Dragon,0,1,0,0,0,0,0,0
0,0,True,132,Caesar & Cleopatra,0,1,0,0,0,0,0,0
0,0,True,133,Frischfleisch,0,1,0,0,0,0,0,0
0,0,True,134,Cape Horn,0,0,0,1,0,0,0,0
0,0,True,135,Kontor,0,1,0,0,0,0,0,0
0,0,True,136,Robin Hood,0,0,0,0,0,0,0,0
0,0,True,137,Pass the Bomb,0,0,0,0,0,0,1,0
0,0,True,139,Hoax,0,1,0,0,0,0,1,0
0,0,True,140,Pit,0,0,0,1,0,0,1,0
0,0,True,141,Andromeda,0,1,0,1,0,0,0,0
0,0,True,142,Vino,0,1,0,0,0,0,0,0
0,0,True,144,Elfenwizards,0,0,0,0,0,0,0,0
